dol	n1
amp	n2
ast	n3
equ	n4
lbr	n5
rbr	n6
lth	n7
gth	n8
lpa	n9
rpa	n0
lsq	car
rsq	til
pou	gra
apo	quo
lp	up
lf	uf
lu	uu
lj	uj
lz	uz
ll	ul
lc	uc
ld	ud
lb	ub
fsl	per
das	plu
la	ua
lo	uo
le	ue
li	ui
ly	uy
lm	um
lr	ur
lt	ut
ls	us
ln	un
und	pip
sem	col
com	exc
dot	que
lw	uw
lx	ux
lq	uq
lh	uh
lg	ug
lk	uk
lv	uv
bsl	at
