pou	gra
dol	n1
amp	n2
ast	n3
equ	n4
lbr	n5
rbr	n6
lth	n7
gth	n8
lpa	n9
rpa	n0
lsq	car
rsq	til
apo	quo
com	que
dot	exc
lp	up
ly	uy
lf	uf
lg	ug
lc	uc
lr	ur
ll	ul
fsl	per
bsl	at
das	plu
la	ua
lo	uo
le	ue
li	ui
lu	uu
ld	ud
lh	uh
lt	ut
ln	un
ls	us
und	pip
sem	col
lq	uq
lj	uj
lk	uk
lx	ux
lb	ub
lm	um
lw	uw
lv	uv
lz	uz
